codigo;nombre;estado;codigoDistribuidor
4729;4729;1;1
4735;4735;1;1
4808;4808;1;1
4795;4795;1;1
4851;4851;1;1
4764;4764;1;1
4765;4765;1;1
1198;1198;1;1
4648;4648;1;1
3572;3572;1;1
4666;4666;1;1
4763;4763;1;1
443;443;1;1
3287;3287;1;1
1711;1711;1;1
1714;1714;1;1
1686;1686;1;1
1293;1293;1;1
2592;2592;1;1
4633;4633;1;1
4528;4528;1;1
4565;4565;1;1
573;573;1;1
5371;5371;1;1
379;379;1;1
390;390;1;1
768;768;1;1
1223;1223;1;1
4597;4597;1;1
4194;4194;1;1
4197;4197;1;1
2028;2028;1;1
490;490;1;1
1672;1672;1;1
4727;4727;1;1
4605;4605;1;1
5279;5279;1;1
5310;5310;1;1
3348;3348;1;1
2834;2834;1;1
2977;2977;1;1
4042;4042;1;1
4512;4512;1;1
4420;4420;1;1
4235;4235;1;1
4275;4275;1;1
4260;4260;1;1
4281;4281;1;1
4234;4234;1;1
3964;3964;1;1
3982;3982;1;1
3945;3945;1;1
3800;3800;1;1
3808;3808;1;1
4134;4134;1;1
4053;4053;1;1
2034;2034;1;1
754;754;1;1
763;763;1;1
774;774;1;1
3937;3937;1;1
5398;5398;1;1
3639;3639;1;1
3638;3638;1;1
4870;4870;1;1
2858;2858;1;1
1523;1523;1;1
3480;3480;1;1
3496;3496;1;1
1725;1725;1;1
4109;4109;1;1
4111;4111;1;1
1977;1977;1;1
1835;1835;1;1
4618;4618;1;1
4456;4456;1;1
5156;5156;1;1
5360;5360;1;1
5362;5362;1;1
3344;3344;1;1
266;266;1;1
3168;3168;1;1
4863;4863;1;1
420;420;1;1
4733;4733;1;1
1671;1671;1;1
5035;5035;1;1
2842;2842;1;1
2783;2783;1;1
2832;2832;1;1
3260;3260;1;1
411;411;1;1
2807;2807;1;1
2575;2575;1;1
2568;2568;1;1
2569;2569;1;1
2565;2565;1;1
2561;2561;1;1
2560;2560;1;1
2680;2680;1;1
2667;2667;1;1
2656;2656;1;1
2596;2596;1;1
2598;2598;1;1
2617;2617;1;1
2620;2620;1;1
2622;2622;1;1
2633;2633;1;1
2717;2717;1;1
2718;2718;1;1
1791;1791;1;1
1816;1816;1;1
1559;1559;1;1
1655;1655;1;1
1625;1625;1;1
1642;1642;1;1
1872;1872;1;1
1848;1848;1;1
4728;4728;1;1
2703;2703;1;1
3879;3879;1;1
3834;3834;1;1
3793;3793;1;1
3448;3448;1;1
2280;2280;1;1
3991;3991;1;1
4000;4000;1;1
3977;3977;1;1
2459;2459;1;1
2239;2239;1;1
2202;2202;1;1
2044;2044;1;1
1941;1941;1;1
1949;1949;1;1
1969;1969;1;1
501;501;1;1
1991;1991;1;1
4592;4592;1;1
5390;5390;1;1
996;996;1;1
1122;1122;1;1
4602;4602;1;1
1357;1357;1;1
1425;1425;1;1
633;633;1;1
1480;1480;1;1
5223;5223;1;1
5220;5220;1;1
3297;3297;1;1
275;275;1;1
293;293;1;1
330;330;1;1
4479;4479;1;1
99;99;1;1
3397;3397;1;1
3143;3143;1;1
2979;2979;1;1
2054;2054;1;1
2084;2084;1;1
4511;4511;1;1
1446;1446;1;1
3228;3228;1;1
2934;2934;1;1
1373;1373;1;1
4649;4649;1;1
1434;1434;1;1
919;919;1;1
859;859;1;1
838;838;1;1
5183;5183;1;1
3126;3126;1;1
993;993;1;1
1028;1028;1;1
887;887;1;1
2546;2546;1;1
2349;2349;1;1
2364;2364;1;1
2380;2380;1;1
4486;4486;1;1
4533;4533;1;1
4417;4417;1;1
4312;4312;1;1
2429;2429;1;1
2259;2259;1;1
3609;3609;1;1
2262;2262;1;1
2311;2311;1;1
4745;4745;1;1
4921;4921;1;1
462;462;1;1
2255;2255;1;1
4599;4599;1;1
2267;2267;1;1
4434;4434;1;1
1154;1154;1;1
2168;2168;1;1
4343;4343;1;1
5107;5107;1;1
2107;2107;1;1
5134;5134;1;1
2217;2217;1;1
1893;1893;1;1
1787;1787;1;1
1720;1720;1;1
2051;2051;1;1
2038;2038;1;1
4382;4382;1;1
4329;4329;1;1
5292;5292;1;1
5285;5285;1;1
2673;2673;1;1
1845;1845;1;1
1836;1836;1;1
1579;1579;1;1
1269;1269;1;1
1628;1628;1;1
1547;1547;1;1
1545;1545;1;1
5205;5205;1;1
5207;5207;1;1
1498;1498;1;1
1403;1403;1;1
1389;1389;1;1
1347;1347;1;1
1236;1236;1;1
1436;1436;1;1
1229;1229;1;1
1191;1191;1;1
5011;5011;1;1
1130;1130;1;1
2315;2315;1;1
1273;1273;1;1
1450;1450;1;1
936;936;1;1
5145;5145;1;1
1071;1071;1;1
997;997;1;1
2740;2740;1;1
2746;2746;1;1
2747;2747;1;1
4293;4293;1;1
1032;1032;1;1
4947;4947;1;1
3081;3081;1;1
4339;4339;1;1
891;891;1;1
4815;4815;1;1
2145;2145;1;1
946;946;1;1
777;777;1;1
953;953;1;1
723;723;1;1
183;183;1;1
3975;3975;1;1
3636;3636;1;1
5295;5295;1;1
733;733;1;1
731;731;1;1
1422;1422;1;1
383;383;1;1
5316;5316;1;1
65;65;1;1
232;232;1;1
34;34;1;1
5299;5299;1;1
743;743;1;1
5242;5242;1;1
4932;4932;1;1
4453;4453;1;1
412;412;1;1
539;539;1;1
1083;1083;1;1
3244;3244;1;1
826;826;1;1
806;806;1;1
639;639;1;1
5394;5394;1;1
5395;5395;1;1
1056;1056;1;1
853;853;1;1
1094;1094;1;1
1067;1067;1;1
1115;1115;1;1
1042;1042;1;1
4878;4878;1;1
4049;4049;1;1
1285;1285;1;1
2716;2716;1;1
1176;1176;1;1
5389;5389;1;1
1228;1228;1;1
1316;1316;1;1
1199;1199;1;1
5160;5160;1;1
1417;1417;1;1
1202;1202;1;1
1380;1380;1;1
4445;4445;1;1
4581;4581;1;1
1632;1632;1;1
5294;5294;1;1
1658;1658;1;1
3873;3873;1;1
638;638;1;1
5324;5324;1;1
493;493;1;1
340;340;1;1
4537;4537;1;1
3127;3127;1;1
4131;4131;1;1
1208;1208;1;1
2233;2233;1;1
2437;2437;1;1
2524;2524;1;1
2534;2534;1;1
2523;2523;1;1
3872;3872;1;1
2521;2521;1;1
2520;2520;1;1
2517;2517;1;1
3578;3578;1;1
4523;4523;1;1
2338;2338;1;1
4196;4196;1;1
4152;4152;1;1
2275;2275;1;1
4215;4215;1;1
4441;4441;1;1
4362;4362;1;1
4346;4346;1;1
358;358;1;1
4309;4309;1;1
3047;3047;1;1
4658;4658;1;1
4640;4640;1;1
4674;4674;1;1
5241;5241;1;1
4677;4677;1;1
4702;4702;1;1
772;772;1;1
4885;4885;1;1
4711;4711;1;1
4804;4804;1;1
364;364;1;1
4793;4793;1;1
5112;5112;1;1
2793;2793;1;1
4779;4779;1;1
4771;4771;1;1
4774;4774;1;1
4838;4838;1;1
2256;2256;1;1
2363;2363;1;1
4748;4748;1;1
4919;4919;1;1
4943;4943;1;1
4965;4965;1;1
4964;4964;1;1
4997;4997;1;1
4984;4984;1;1
5094;5094;1;1
5087;5087;1;1
1511;1511;1;1
5170;5170;1;1
2567;2567;1;1
5137;5137;1;1
5131;5131;1;1
5239;5239;1;1
5263;5263;1;1
1715;1715;1;1
5244;5244;1;1
5280;5280;1;1
5325;5325;1;1
5293;5293;1;1
5290;5290;1;1
5305;5305;1;1
5359;5359;1;1
3974;3974;1;1
2053;2053;1;1
5303;5303;1;1
515;515;1;1
714;714;1;1
4881;4881;1;1
5349;5349;1;1
5341;5341;1;1
5254;5254;1;1
3276;3276;1;1
767;767;1;1
5178;5178;1;1
4500;4500;1;1
2723;2723;1;1
5062;5062;1;1
5001;5001;1;1
4743;4743;1;1
4989;4989;1;1
4931;4931;1;1
4629;4629;1;1
5005;5005;1;1
4941;4941;1;1
2336;2336;1;1
4686;4686;1;1
4731;4731;1;1
3628;3628;1;1
815;815;1;1
4903;4903;1;1
4820;4820;1;1
4960;4960;1;1
4772;4772;1;1
4752;4752;1;1
4754;4754;1;1
1078;1078;1;1
4778;4778;1;1
4455;4455;1;1
4476;4476;1;1
4669;4669;1;1
1171;1171;1;1
4571;4571;1;1
4564;4564;1;1
4542;4542;1;1
4526;4526;1;1
4448;4448;1;1
4469;4469;1;1
4391;4391;1;1
3076;3076;1;1
5302;5302;1;1
4327;4327;1;1
4314;4314;1;1
4294;4294;1;1
4191;4191;1;1
4189;4189;1;1
4206;4206;1;1
4089;4089;1;1
3930;3930;1;1
3946;3946;1;1
3880;3880;1;1
3820;3820;1;1
4488;4488;1;1
614;614;1;1
2252;2252;1;1
4876;4876;1;1
3440;3440;1;1
3222;3222;1;1
3054;3054;1;1
3188;3188;1;1
4019;4019;1;1
2857;2857;1;1
2970;2970;1;1
2947;2947;1;1
2953;2953;1;1
630;630;1;1
1428;1428;1;1
1497;1497;1;1
1145;1145;1;1
